Date,Open,High,Low,Close,Adj Close,Volume
2019-06-05,169.619995,171.339996,165.350006,167.320007,167.320007,0
2019-06-06,168.119995,169.929993,166.860001,169.300003,169.300003,0
2019-06-07,170.740005,171.389999,168.330002,168.949997,168.949997,0
2019-06-10,166.320007,167.360001,164.070007,167.110001,167.110001,0
2019-06-11,166.589996,168.820007,165.580002,168.229996,168.229996,0
2019-06-12,169.830002,172.100006,169.559998,170.919998,170.919998,0
2019-06-13,170.919998,174.059998,170.500000,173.860001,173.860001,0
2019-06-14,175.250000,177.250000,172.229996,173.740005,173.740005,0
2019-06-17,173.830002,175.729996,172.509995,175.649994,175.649994,0
2019-06-18,178.300003,179.050003,174.720001,177.460007,177.460007,0
2019-06-19,175.479996,180.289993,175.479996,180.110001,180.110001,0
2019-06-20,186.729996,190.669998,186.729996,189.119995,189.119995,0
2019-06-21,189.520004,191.089996,186.539993,189.990005,189.990005,0
2019-06-24,191.729996,195.690002,190.050003,195.610001,195.610001,0
2019-06-25,197.029999,198.360001,188.470001,192.369995,192.369995,0
2019-06-26,187.429993,194.369995,187.089996,192.860001,192.860001,0
2019-06-27,191.250000,192.740005,189.419998,192.380005,192.380005,0
2019-06-28,192.820007,194.339996,191.139999,194.119995,194.119995,0
2019-07-01,189.119995,189.419998,186.130005,186.860001,186.860001,0
2019-07-02,188.869995,194.369995,187.559998,193.669998,193.669998,0
2019-07-03,194.990005,195.160004,191.970001,194.699997,194.699997,0
2019-07-05,188.949997,193.850006,186.630005,193.009995,193.009995,0
2019-07-08,193.440002,193.979996,190.699997,192.630005,192.630005,0
2019-07-09,191.509995,195.089996,191.100006,194.880005,194.880005,0
2019-07-10,197.899994,200.449997,195.660004,200.380005,200.380005,0
2019-07-11,199.880005,200.710007,195.949997,198.240005,198.240005,0
2019-07-12,198.970001,200.929993,197.710007,200.669998,200.669998,0
2019-07-15,201.130005,202.160004,199.050003,201.000000,201.000000,0
2019-07-16,200.130005,202.479996,199.039993,200.660004,200.660004,0
2019-07-17,201.649994,208.070007,201.300003,207.740005,207.740005,0
2019-07-18,207.199997,215.559998,204.729996,214.360001,214.360001,0
2019-07-19,212.610001,215.490005,209.250000,210.929993,210.929993,0
2019-07-22,211.360001,213.020004,210.440002,211.800003,211.800003,0
2019-07-23,211.419998,213.589996,206.589996,209.630005,209.630005,0
2019-07-24,210.669998,212.720001,209.389999,212.070007,212.070007,0
2019-07-25,210.960007,211.350006,206.229996,207.539993,207.539993,0
2019-07-26,208.210007,209.100006,205.339996,206.899994,206.899994,0
2019-07-29,207.809998,209.570007,205.639999,209.460007,209.460007,0
2019-07-30,209.860001,212.330002,209.279999,210.860001,210.860001,0
2019-07-31,208.750000,208.759995,197.699997,199.399994,199.399994,0
2019-08-01,195.229996,210.630005,194.820007,209.750000,209.750000,0
2019-08-02,207.960007,211.550003,206.830002,208.649994,208.649994,0
2019-08-05,212.050003,220.460007,208.649994,217.619995,217.619995,0
2019-08-06,216.009995,220.520004,215.600006,218.630005,218.630005,0
2019-08-07,222.940002,228.289993,219.529999,220.220001,220.220001,0
2019-08-08,216.029999,223.199997,214.529999,221.990005,221.990005,0
2019-08-09,221.199997,223.639999,219.119995,219.589996,219.589996,0
2019-08-12,221.699997,223.320007,216.720001,216.940002,216.940002,0
2019-08-13,220.820007,220.820007,206.399994,213.300003,213.300003,0
2019-08-14,217.470001,218.479996,213.289993,213.490005,213.490005,0
2019-08-15,213.009995,216.979996,211.250000,216.119995,216.119995,0
2019-08-16,213.399994,215.570007,211.429993,213.649994,213.649994,0
2019-08-19,209.020004,214.550003,207.600006,211.210007,211.210007,0
2019-08-20,212.649994,219.130005,212.449997,217.460007,217.460007,0
2019-08-21,215.610001,218.789993,215.520004,217.070007,217.070007,0
2019-08-22,216.339996,218.550003,215.669998,216.339996,216.339996,0
2019-08-23,218.089996,227.179993,217.940002,226.210007,226.210007,0
2019-08-26,227.470001,228.880005,223.889999,225.449997,225.449997,0
2019-08-27,226.149994,235.199997,226.149994,233.919998,233.919998,0
2019-08-28,235.059998,237.339996,230.919998,234.679993,234.679993,0
2019-08-29,234.009995,234.160004,224.929993,227.229996,227.229996,0
2019-08-30,226.320007,230.660004,225.570007,228.240005,228.240005,0
2019-09-03,231.059998,235.429993,230.039993,231.449997,231.449997,0
2019-09-04,230.949997,235.830002,230.449997,235.759995,235.759995,0
2019-09-05,231.289993,231.660004,221.910004,224.229996,224.229996,0
2019-09-06,224.600006,227.800003,216.949997,216.979996,216.979996,0
2019-09-09,218.300003,218.500000,208.580002,210.339996,210.339996,0
2019-09-10,208.139999,212.740005,207.020004,208.860001,208.860001,0
2019-09-11,208.860001,215.550003,208.860001,211.240005,211.240005,0
2019-09-12,217.630005,220.089996,208.000000,208.250000,208.250000,0
2019-09-13,209.399994,211.389999,203.860001,204.139999,204.139999,0
2019-09-16,206.619995,208.800003,203.080002,207.279999,207.279999,0
2019-09-17,208.960007,214.880005,208.160004,213.490005,213.490005,0
2019-09-18,213.619995,213.779999,204.509995,209.139999,209.139999,0
2019-09-19,210.940002,215.080002,210.940002,214.020004,214.020004,0
